ID,Professor_ID,Difficulty,Clarity,Grade,Ratings
788, 41, 4, 3, 1, 5.
697, 27, 4, 5, 4, 1.
556, 7, 4, 4, 1, 1.
573, 9, 5, 2, 1, 4.
870, 15, 1, 4, 4, 4.
345, 18, 2, 1, 2, 4.
702, 36, 1, 3, 2, 3.
50, 40, 1, 5, 4, 3.
736, 49, 5, 2, 3, 2.
748, 18, 3, 2, 3, 4.
838, 43, 2, 4, 3, 3.
906, 22, 3, 4, 4, 1.
53, 38, 1, 3, 3, 4.
73, 9, 1, 1, 2, 1.
754, 4, 2, 3, 2, 3.
261, 25, 2, 2, 2, 2.
354, 15, 2, 2, 5, 4.
427, 41, 3, 1, 2, 2.
101, 24, 5, 2, 3, 1.
692, 42, 5, 4, 1, 1.
59, 32, 5, 5, 2, 4.
322, 10, 2, 3, 2, 4.
789, 33, 5, 3, 5, 3.
294, 27, 1, 2, 5, 2.
828, 16, 4, 3, 3, 1.
291, 49, 5, 4, 2, 3.
406, 50, 2, 4, 2, 4.
894, 23, 2, 4, 3, 3.
874, 38, 4, 3, 1, 3.
738, 28, 4, 4, 5, 4.
138, 6, 3, 2, 4, 1.
576, 34, 2, 2, 5, 5.
579, 16, 5, 3, 1, 1.
656, 21, 2, 3, 5, 4.
639, 44, 5, 4, 5, 4.
768, 27, 2, 1, 4, 2.
593, 44, 1, 2, 5, 4.
254, 32, 2, 5, 3, 5.
167, 10, 5, 1, 5, 2.
448, 9, 2, 4, 2, 4.
492, 39, 2, 4, 4, 4.
546, 50, 4, 3, 2, 1.
360, 17, 4, 3, 4, 2.
103, 36, 4, 4, 3, 4.
482, 45, 1, 1, 5, 4.
65, 6, 2, 2, 1, 5.
831, 45, 2, 3, 2, 1.
327, 9, 2, 2, 4, 5.
928, 15, 4, 1, 5, 1.
845, 10, 4, 2, 4, 3.
339, 11, 4, 3, 4, 1.
290, 20, 5, 1, 3, 2.
6, 29, 1, 1, 3, 5.
937, 50, 4, 4, 4, 1.
262, 40, 5, 5, 5, 4.
406, 44, 4, 5, 4, 2.
570, 48, 2, 5, 4, 1.
970, 21, 2, 4, 3, 4.
80, 39, 2, 1, 4, 2.
717, 25, 1, 3, 1, 2.
821, 30, 5, 3, 1, 5.
501, 37, 3, 5, 5, 5.
953, 20, 2, 1, 1, 1.
426, 17, 2, 1, 4, 1.
645, 22, 3, 2, 5, 3.
645, 10, 4, 1, 4, 3.
545, 39, 4, 3, 4, 3.
272, 10, 5, 4, 4, 4.
431, 16, 2, 5, 5, 4.
117, 45, 1, 1, 3, 3.
840, 38, 5, 1, 1, 3.
357, 42, 4, 1, 2, 3.
75, 47, 5, 5, 4, 1.
878, 35, 3, 3, 5, 1.
866, 25, 1, 4, 1, 4.
401, 47, 2, 1, 5, 3.
723, 1, 2, 3, 5, 2.
722, 47, 1, 4, 5, 3.
599, 39, 2, 5, 5, 5.
677, 13, 5, 4, 2, 5.
660, 46, 4, 4, 1, 1.
292, 34, 2, 3, 4, 3.
952, 23, 2, 2, 1, 5.
694, 34, 3, 4, 1, 3.
514, 33, 3, 1, 4, 2.
240, 45, 5, 1, 1, 3.
184, 20, 5, 2, 4, 4.
640, 11, 3, 2, 4, 1.
367, 23, 3, 4, 4, 5.
810, 26, 2, 1, 3, 2.
138, 5, 3, 4, 2, 2.
440, 49, 3, 5, 3, 2.
770, 10, 5, 2, 3, 4.
491, 35, 2, 3, 5, 1.
71, 47, 1, 5, 5, 3.
351, 24, 5, 5, 2, 3.
67, 49, 1, 5, 2, 5.
418, 25, 5, 3, 5, 2.
666, 39, 3, 4, 1, 4.
571, 38, 4, 1, 2, 1.
619, 20, 3, 1, 1, 3.
775, 41, 1, 3, 1, 1.
984, 33, 1, 1, 1, 5.
245, 1, 1, 2, 4, 5.
545, 43, 2, 5, 3, 3.
946, 4, 3, 3, 1, 5.
737, 17, 3, 2, 5, 5.
885, 15, 1, 4, 1, 1.
466, 26, 5, 4, 3, 4.
794, 40, 3, 2, 2, 4.
706, 41, 1, 2, 1, 5.
976, 21, 4, 4, 5, 4.
896, 12, 4, 1, 5, 5.
976, 12, 3, 3, 5, 1.
463, 33, 2, 2, 5, 1.
206, 45, 1, 1, 3, 1.
178, 1, 5, 2, 5, 2.
407, 30, 4, 4, 3, 2.
822, 20, 2, 4, 5, 1.
214, 41, 5, 1, 1, 2.
766, 46, 3, 5, 4, 4.
757, 15, 1, 4, 4, 2.
71, 36, 4, 2, 2, 3.
254, 19, 2, 3, 4, 3.
272, 12, 2, 3, 4, 2.
28, 24, 2, 4, 4, 2.
296, 30, 2, 4, 5, 2.
459, 28, 5, 5, 4, 3.
620, 20, 3, 2, 5, 2.
687, 43, 5, 3, 2, 5.
468, 6, 5, 3, 3, 2.
739, 43, 4, 3, 3, 3.
250, 6, 5, 3, 2, 2.
226, 30, 3, 5, 3, 5.
492, 27, 4, 3, 4, 4.
926, 13, 1, 2, 3, 2.
831, 50, 5, 5, 3, 4.
447, 15, 2, 5, 1, 5.
1000, 39, 3, 4, 2, 2.
409, 6, 2, 2, 4, 5.
437, 41, 1, 4, 5, 5.
989, 18, 4, 3, 5, 3.
